id,titulo,fecha_estreno,genero,duracion_min,presupuesto_musd,taquilla_musd,popularidad,rating,votos,idioma_original,adulto
1654623,La Bête du Gévaudan 5,2028-05-29,Sin género,0,0.0,0.0,0.19,0.0,0,en,False
1504349,Lilo & Stitch 2,2028-05-25,Familia,0,0.0,0.0,2.72,0.0,0,en,False
1212489,La Resurrección de Cristo: Parte dos,2028-05-25,Drama,0,100.0,0.0,1.56,0.0,0,en,False
1693028,나의 대통령,2028-05-23,Animación,0,0.0,0.0,0.23,0.0,0,ko,False
1736379,Agent Owen,2028-05-19,Acción,0,0.02,0.0,0.23,0.0,0,en,False
1615504,Before the Silence,2028-05-19,Drama,0,0.0,0.0,0.29,0.0,0,en,False
1467853,Miami Vice '85,2028-05-18,Crimen,0,0.0,0.0,2.27,0.0,0,en,False
1668254,La direction,2028-05-17,Drama,0,0.0,0.0,0.17,0.0,0,fr,False
1732850,Charmed Lives: A Family Romance,2028-05-11,Documental,0,0.0,0.0,1.27,0.0,0,en,False
1505252,Final Destination 7,2028-05-11,Terror,0,0.0,0.0,1.16,0.0,0,en,False
1739043,Cannibal Kitchen,2028-05-08,Terror,65,0.0,0.0,3.04,0.0,0,en,False
1293690,Untitled X-Men Film,2028-05-05,Ciencia ficción,0,0.0,0.0,10.15,0.0,0,en,False
1383155,Trójka,2028-05-01,Drama,25,0.0,0.0,0.25,0.0,0,pl,False
1566914,The Silver Bandits,2028-04-21,Acción,0,0.0,0.0,0.38,0.0,0,en,False
1280608,Evil Dead Wrath,2028-04-05,Terror,0,20.0,0.0,2.22,0.0,0,en,False
1247606,The Beatles: Ringo,2028-04-05,Drama,0,100.0,0.0,1.54,0.0,0,en,False
1247605,The Beatles: Paul,2028-04-05,Drama,0,100.0,0.0,2.02,0.0,0,en,False
1247603,The Beatles: George,2028-04-05,Drama,0,100.0,0.0,1.89,0.0,0,en,False
1247601,The Beatles: John,2028-04-05,Drama,0,100.0,0.0,2.1,0.0,0,en,False
1559978,Enredados,2028-03-31,Aventura,0,0.0,0.0,4.15,0.0,0,en,False
1488743,The Chosen: Resurrection,2028-03-31,Drama,0,0.0,0.0,0.6,0.0,0,en,False
762967,Поклонник,2028-03-23,Sin género,0,0.0,0.0,0.32,0.0,0,ru,False
755679,Fast Forever,2028-03-16,Acción,0,0.0,0.0,14.95,0.0,0,en,False
748865,"Oh, the Places You'll Go!",2028-03-16,Animación,0,0.0,0.0,0.62,0.0,0,en,False
1696624,The Creation of Blobs,2028-03-15,Animación,6,0.0,0.0,0.46,0.0,0,en,False
1647603,Ghost Market,2028-03-10,Animación,0,0.0,0.0,3.18,0.0,0,en,False
1263361,Садко,2028-03-08,Fantasía,0,0.0,0.0,0.48,0.0,0,ru,False
1485839,Elden Ring,2028-03-03,Fantasía,0,70.0,0.0,1.88,0.0,0,en,False
1655865,Bob Necromante,2028-03-01,Fantasía,0,0.01,0.0,0.23,0.0,0,pt,False
1637854,Alleen,2028-02-18,Sin género,0,0.0,0.0,0.84,0.0,0,nl,False
1388496,Grandgear,2028-02-17,Acción,0,0.0,0.0,0.52,0.0,0,en,False
806704,Batman: Parte 2,2028-02-17,Misterio,0,0.0,0.0,5.52,0.0,0,en,False
1662286,Золушка,2028-02-10,Sin género,0,0.0,0.0,0.94,0.0,0,ru,False
1625381,Heart Eyes 2,2028-02-10,Terror,0,0.0,0.0,0.51,0.0,0,en,False
1188748,"Murder, She Wrote",2028-02-03,Misterio,0,0.0,0.0,0.63,0.0,0,en,False
1634592,Endless Summer,2028-01-28,Drama,130,0.0,0.0,1.61,0.0,0,en,False
